,City,ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
336,Porto Novo,3374336,40,CV,1571595694,65,17.02,-25.06,82.4,20.8
337,Bafata,2375254,53,GW,1571595696,79,12.17,-14.67,84.37,7.85
338,San Ramon,3905088,100,BO,1571595697,50,-13.27,-64.62,90.61,3.36
339,Udankudi,1253972,100,IN,1571595698,75,8.43,78.03,81.87,6.58
340,Khorramshahr,127319,0,IR,1571595699,28,30.43,48.18,87.8,4.7
341,Serik,301101,0,TR,1571595700,77,36.92,31.1,69.8,4.7
342,Panzhihua,6929460,0,CN,1571595701,85,26.59,101.72,57.66,1.3
343,Khamgaon,1267084,100,IN,1571595702,86,20.71,76.57,70.78,1.88
344,Hokitika,2206894,67,NZ,1571595703,81,-42.72,170.96,50.08,5.57
345,Oxelosund,2684653,23,SE,1571595704,100,58.67,17.1,44.6,2.24
346,Yazykovo,468486,100,RU,1571595705,87,54.3,47.38,50.65,8.72
347,Nsunga,151363,20,TZ,1571595706,78,-1.13,31.39,71.6,0.54
348,Tamworth,2147497,0,AU,1571595708,76,-31.09,150.93,51.8,9.17
349,Russell,2188874,40,NZ,1571595709,94,-35.26,174.12,52.0,1.9
350,Atar,2381334,38,MR,1571595710,17,20.52,-13.05,91.39,9.08
351,Nichinan,1855476,100,JP,1571595711,77,31.65,131.31,64.0,3.0
352,Moa,3546791,99,CU,1571595712,52,20.66,-74.95,88.76,4.56
353,Iguape,3461465,99,BR,1571595713,71,-24.7,-47.56,66.3,5.75
354,Urusha,2014078,100,RU,1571595714,98,54.05,122.9,36.87,3.6
355,Saldanha,3361934,17,ZA,1571595716,77,-33.01,17.94,64.4,12.75
356,Aleksandrov Gay,583345,71,RU,1571595717,68,50.14,48.57,52.83,7.58
357,Pevek,2122090,100,RU,1571595718,69,69.7,170.27,27.16,12.3
358,Praya,1630662,40,ID,1571595719,88,-8.71,116.27,78.8,6.93
359,Canton,5149222,20,US,1571595720,46,40.8,-81.38,72.0,3.31
360,Nabire,1634614,60,ID,1571595721,99,-3.36,135.5,70.24,2.3
361,Lincoln,5072006,1,US,1571595722,63,40.8,-96.67,62.6,18.34
362,Son Tay,1567621,75,VN,1571595723,88,21.14,105.5,77.0,3.36
363,San Felipe,3987224,0,MX,1571595724,44,31.02,-114.84,81.0,11.99
364,Adrar,2508813,0,DZ,1571595726,17,27.87,-0.29,91.4,4.7
365,Cherskiy,2126199,0,RU,1571595727,91,68.75,161.3,3.64,1.3
366,Luangwa,911148,8,ZM,1571595729,25,-12.88,28.25,74.79,2.77
367,Maceio,3395981,20,BR,1571595730,66,-9.67,-35.74,84.2,18.34
368,Mount Gambier,2156643,90,AU,1571595731,81,-37.83,140.78,50.0,3.31
369,Vardo,777019,20,NO,1571595733,74,70.37,31.11,30.2,35.57
370,Kerema,2094144,96,PG,1571595734,78,-7.96,145.78,77.24,8.97
371,Yenagoa,2318123,100,NG,1571595735,92,4.92,6.26,76.0,3.29
372,Quito,3652462,90,EC,1571595736,63,-0.22,-78.51,64.4,3.36
373,Namtsy,2019488,0,RU,1571595737,92,62.72,129.66,17.6,4.47
374,Pasni,1168312,0,PK,1571595738,56,25.26,63.48,80.41,3.38
375,Mount Isa,2065594,0,AU,1571595739,11,-20.73,139.49,73.4,12.75
376,Ilulissat,3423146,89,GL,1571595740,58,69.22,-51.1,26.6,9.17
377,Lompoc,5367788,1,US,1571595741,46,34.64,-120.46,82.0,20.8
378,Yuanping,1786060,0,CN,1571595742,30,38.72,112.71,39.22,2.84
379,Vung Tau,1562414,91,VN,1571595743,78,10.35,107.08,80.82,14.45
380,Kidal,2455290,76,ML,1571595744,22,18.44,1.41,92.76,6.69
381,Mongagua,3456944,75,BR,1571595745,68,-24.09,-46.62,71.6,13.87
382,Chimbote,3698304,94,PE,1571595746,91,-9.08,-78.59,61.33,13.51
383,Sao Geraldo do Araguaia,3388760,50,BR,1571595747,38,-6.4,-48.55,96.0,5.37
384,Sortavala,490466,98,RU,1571595748,88,61.7,30.69,36.81,2.71
385,Rio Gallegos,3838859,75,AR,1571595749,53,-51.62,-69.22,60.8,16.11
386,Peniche,2264923,20,PT,1571595750,63,39.36,-9.38,60.8,6.93
387,Vernon,4739078,1,US,1571595751,32,34.15,-99.28,84.0,19.46
388,Mackenzie,6063191,90,CA,1571595752,93,55.34,-123.09,35.6,4.7
389,Nanhai,7696234,36,CN,1571595753,81,30.13,111.78,64.0,2.84
390,Husavik,2629833,90,IS,1571595754,80,66.04,-17.34,39.2,13.87
391,Torbay,6167817,75,CA,1571595755,70,47.66,-52.73,50.0,23.04
392,Nigde,303827,100,TR,1571595757,41,37.97,34.68,54.43,4.79
393,Portland,2152668,6,AU,1571595759,94,-33.35,149.98,44.01,2.28
394,Ostrovnoy,556268,99,RU,1571595760,84,68.05,39.51,25.31,6.04
395,Riyadh,108410,0,SA,1571595761,36,24.63,46.72,78.8,2.24
396,Westport,2960970,75,IE,1571595762,70,53.8,-9.52,52.0,6.93
397,Pavlodar,1520240,90,KZ,1571595763,85,52.28,76.96,24.8,8.95
398,Hammerfest,779683,0,NO,1571595764,62,70.66,23.68,32.0,20.8
399,Ingham,2162737,28,AU,1571595765,96,-18.65,146.16,66.01,0.78
400,Leshukonskoye,535839,98,RU,1571595766,87,64.9,45.76,31.29,8.66
401,Santo Domingo,3653015,75,EC,1571595767,55,-2.48,-80.3,86.0,4.7
402,Richards Bay,962367,23,ZA,1571595769,87,-28.77,32.06,72.88,27.65
403,Kajaani,654901,90,FI,1571595770,81,64.22,27.73,32.0,6.93
404,Progreso,3515690,32,MX,1571595771,54,20.25,-99.19,73.01,2.66
405,Buraydah,107304,0,SA,1571595772,32,26.33,43.97,80.6,3.36
406,Mason City,4866445,1,US,1571595773,39,43.15,-93.2,66.2,9.17
407,Visby,2662689,90,SE,1571595774,100,57.64,18.3,53.01,5.82
408,Birjand,140463,0,IR,1571595775,17,32.86,59.22,55.4,6.93
409,Ponta Delgada,3372783,40,PT,1571595776,52,37.73,-25.67,66.2,9.17
410,Cloquet,5021632,1,US,1571595777,41,46.72,-92.46,61.0,4.05
411,Rindal,3141866,0,NO,1571595778,89,63.05,9.21,31.99,4.68
412,Harper,2276492,95,LR,1571595779,83,4.38,-7.71,79.35,9.84
413,Puerto Escondido,3520994,75,MX,1571595780,70,15.86,-97.07,86.0,9.17
414,Barcelos,3665098,92,BR,1571595781,49,-0.97,-62.93,92.65,3.22
415,Honningsvag,779554,0,NO,1571595782,62,70.98,25.97,32.0,21.92
416,Caxias do Sul,3466537,40,BR,1571595783,68,-29.17,-51.18,73.0,4.7
417,Awbari,2219235,0,LY,1571595784,32,26.59,12.77,82.37,17.9
418,Sisimiut,3419842,0,GL,1571595785,71,66.94,-53.67,32.89,12.77
419,Cidreira,3466165,97,BR,1571595786,57,-30.17,-50.22,66.76,12.03
420,Iisalmi,656820,90,FI,1571595787,88,63.56,27.19,35.6,6.93
421,Ahipara,2194098,21,NZ,1571595788,100,-35.17,173.16,52.0,19.42
422,Ushibuka,1849154,100,JP,1571595789,70,32.19,130.02,70.09,10.31
423,Leningradskiy,2123814,100,RU,1571595790,94,69.38,178.42,25.35,25.28
424,San Patricio,3985168,90,MX,1571595791,94,19.22,-104.7,80.6,5.82
425,Gladstone,2165478,4,AU,1571595795,73,-23.84,151.26,69.8,8.05
426,Roros,3141332,75,NO,1571595797,93,62.57,11.38,32.0,6.93
427,Makakilo City,5850554,75,US,1571595798,94,21.35,-158.09,82.4,3.09
428,San Andres,7522928,40,CO,1571595799,66,8.22,-76.58,87.8,11.41
429,Berlevag,780687,0,NO,1571595800,79,70.86,29.09,30.2,34.45
430,Alihe,2038665,100,CN,1571595801,62,50.57,123.73,33.57,15.3
431,Vestmannaeyjar,3412093,90,IS,1571595802,100,63.44,-20.27,44.6,28.86
432,Fonte Boa,3664207,100,BR,1571595803,65,-2.51,-66.09,84.91,3.06
433,Tripoli,2210247,0,LY,1571595804,69,32.88,13.19,77.31,25.59
434,Ostersund,2685750,90,SE,1571595805,92,63.18,14.64,30.99,4.7
435,Svetlogorsk,584051,0,RU,1571595806,85,53.14,59.15,15.8,4.47
436,Falmouth,2649715,20,GB,1571595807,76,50.16,-5.07,54.0,9.17
437,Sydney,2147714,0,AU,1571595808,93,-33.85,151.22,54.0,4.07
438,Zhezkazgan,1516589,0,KZ,1571595809,51,47.8,67.71,30.87,15.82
439,Ovalle,3877918,4,CL,1571595810,39,-30.6,-71.2,68.08,15.05
440,Tay Ninh,1566559,100,VN,1571595811,91,11.3,106.1,77.76,2.04
441,Kahului,5847411,20,US,1571595812,69,20.89,-156.47,80.6,16.58
442,Quatre Cocos,1106643,75,MU,1571595813,78,-20.21,57.76,75.2,11.41
443,Bathsheba,3374083,40,BB,1571595814,62,13.22,-59.52,87.8,11.41
444,Mercedes,3430709,100,AR,1571595815,90,-29.18,-58.08,56.38,17.38
445,Kungurtug,1501377,100,RU,1571595816,81,50.6,97.53,26.14,1.79
446,El Limon,3642833,100,VE,1571595818,82,10.3,-67.63,79.02,5.61
447,Lazaro Cardenas,3996234,5,MX,1571595819,36,28.39,-105.62,75.2,5.82
448,Amambai,3472391,81,BR,1571595820,58,-23.11,-55.23,85.88,5.93
449,Tramandai,3446232,100,BR,1571595821,60,-29.98,-50.13,67.95,10.6
450,Shibetsu,2127500,0,JP,1571595822,88,44.15,142.46,41.2,4.7
451,Bosaso,64013,97,SO,1571595823,74,11.28,49.18,81.72,10.33
452,Kirakira,2178753,59,SB,1571595825,86,-10.46,161.92,78.41,5.19
453,Seoul,1835848,1,KR,1571595826,100,37.57,126.98,53.6,1.12
454,Half Moon Bay,5354943,1,US,1571595827,67,37.46,-122.43,68.0,12.75
455,Camacupa,3351014,47,AO,1571595828,45,-12.02,17.48,70.9,2.86
456,Sorland,3137469,75,NO,1571595829,65,67.67,12.69,41.0,11.41
457,Cumbitara,3685428,75,CO,1571595830,82,1.65,-77.58,68.0,6.93
458,Necochea,3430443,100,AR,1571595832,51,-38.55,-58.74,66.0,7.0
459,Urut,616178,20,AM,1571595833,62,41.07,44.4,55.4,12.75
460,Sao Filipe,3374210,13,CV,1571595834,83,14.9,-24.5,78.01,20.96
461,Vestmanna,2610343,100,FO,1571595836,93,62.16,-7.17,42.8,6.93
462,Colares,2269142,20,PT,1571595837,63,38.8,-9.45,64.4,11.41
463,Touros,3386213,40,BR,1571595838,62,-5.2,-35.46,84.2,13.87
464,Hobyo,57000,33,SO,1571595839,72,5.35,48.53,81.16,9.84
465,Umm Kaddadah,364933,97,SD,1571595840,34,13.6,26.69,91.17,6.02
466,Dailly,2648626,20,GB,1571595842,70,55.28,-4.72,48.0,3.36
467,Dunedin,2191562,83,NZ,1571595843,81,-45.87,170.5,48.99,23.0
468,Boromlya,711629,13,UA,1571595844,67,50.62,34.97,54.85,6.38
469,Cusuna,3612949,28,HN,1571595847,73,15.85,-85.23,86.2,17.69
470,Imeni Poliny Osipenko,2023584,29,RU,1571595848,95,52.42,136.49,34.76,1.07
471,Valleyview,6173220,29,CA,1571595849,61,55.07,-117.28,39.24,3.15
472,Kawalu,1640902,70,ID,1571595850,90,-7.38,108.21,69.12,3.65
473,Kita,2455216,25,ML,1571595853,36,13.04,-9.49,89.53,3.4
474,Pindamonhangaba,3453837,75,BR,1571595854,60,-22.93,-45.46,78.8,9.17
475,Flin Flon,5954718,90,CA,1571595855,86,54.77,-101.88,39.2,6.93
476,Antofagasta,3899539,20,CL,1571595856,59,-23.65,-70.4,69.01,21.92
477,Los Andes,3882434,20,CL,1571595857,39,-32.83,-70.6,75.0,8.05
478,Fukue,1848373,75,JP,1571595859,77,35.03,136.69,66.2,6.93
479,Karratha,6620339,48,AU,1571595860,36,-20.74,116.85,76.97,9.28
480,Vesoul,2969562,99,FR,1571595861,100,47.62,6.16,59.0,5.82
481,Redmond,5808079,90,US,1571595864,87,47.67,-122.12,50.0,8.05
482,Sirohi,1256067,6,IN,1571595866,51,24.89,72.86,79.54,2.73
483,Springdale,6154159,90,CA,1571595867,76,49.5,-56.06,46.0,11.32
484,Ishigaki,1861416,34,JP,1571595868,78,24.34,124.16,74.79,21.21
485,Vilhena,3924679,40,BR,1571595869,66,-12.74,-60.15,84.2,4.7
486,Rosario,3838583,90,AR,1571595870,68,-32.96,-60.66,66.99,5.82
487,Harindanga,1349090,0,IN,1571595871,88,22.04,88.32,80.6,4.18
488,Vila do Maio,3374120,20,CV,1571595872,62,15.13,-23.22,84.2,20.8
489,Beloha,1067565,0,MG,1571595874,59,-25.17,45.06,73.84,3.91
490,Avallon,3035768,100,FR,1571595875,94,47.49,3.91,57.99,6.58
491,Muisne,3653967,90,EC,1571595876,74,0.61,-80.02,80.6,10.29
492,Suez,359796,16,EG,1571595877,54,29.97,32.54,73.68,6.33
493,Khabary,1503856,22,RU,1571595878,75,53.63,79.53,21.26,5.46
494,Yar-Sale,1486321,100,RU,1571595880,95,66.83,70.83,27.51,10.02
495,Bud,7626370,75,NO,1571595881,75,62.91,6.91,46.4,6.93
496,Deputatskiy,2028164,90,RU,1571595882,95,69.3,139.9,9.92,2.3
497,Tchollire,2221607,68,CM,1571595883,89,8.4,14.17,75.44,2.66
498,Salvador,3450554,20,BR,1571595885,74,-12.98,-38.48,84.2,16.11
499,Beaverlodge,5896969,75,CA,1571595886,65,55.21,-119.43,32.0,3.36
